Title,Authors,Abstract,arXiv ID,PDF_Link,Search Term
Let Models Speak Ciphers: Multiagent Debate through Embeddings,"Chau Pham, Boyi Liu, Yingxiang Yang, Zhengyu Chen, Tianyi Liu, Jianbo Yuan, Bryan A. Plummer, Zhaoran Wang, Hongxia Yang","Discussion and debate among Large Language Models (LLMs) have gained
considerable attention due to their potential to enhance the reasoning ability
of LLMs. Although natural language is an obvious choice for communication due
to LLM's language understanding capability, the token sampling step needed when
generating natural language poses a potential risk of information loss, as it
uses only one token to represent the model's belief across the entire
vocabulary. In this paper, we introduce a communication regime named CIPHER
(Communicative Inter-Model Protocol Through Embedding Representation) to
address this issue. Specifically, we remove the token sampling step from LLMs
and let them communicate their beliefs across the vocabulary through the
expectation of the raw transformer output embeddings. Remarkably, by deviating
from natural language, CIPHER offers an advantage of encoding a broader
spectrum of information without any modification to the model weights,
outperforming the state-of-the-art LLM debate methods using natural language by
0.5-5.0% across five reasoning tasks and multiple open-source LLMs of varying
sizes. This showcases the superiority and robustness of embeddings as an
alternative ""language"" for communication among LLMs. We anticipate that CIPHER
will inspire further exploration for the design of interactions within LLM
agent systems, offering a new direction that could significantly influence
future developments in the field.",2310.06272v2,https://arxiv.org/pdf/2310.06272v2,Multiagent
On Quantified Observability Analysis in Multiagent Systems,"Chunyan Mu, Jun Pang","In multiagent systems (MASs), agents' observation upon system behaviours may
improve the overall team performance, but may also leak sensitive information
to an observer. A quantified observability analysis can thus be useful to
assist decision-making in MASs by operators seeking to optimise the
relationship between performance effectiveness and information exposure through
observations in practice. This paper presents a novel approach to
quantitatively analysing the observability properties in MASs. The concept of
opacity is applied to formally express the characterisation of observability in
MASs modelled as partially observable multiagent systems. We propose a temporal
logic oPATL to reason about agents' observability with quantitative goals,
which capture the probability of information transparency of system behaviours
to an observer, and develop verification techniques for quantitatively
analysing such properties. We implement the approach as an extension of the
PRISM model checker, and illustrate its applicability via several examples.",2310.02614v1,https://arxiv.org/pdf/2310.02614v1,Multiagent
"Multiagent Reinforcement Learning with an Attention Mechanism for
  Improving Energy Efficiency in LoRa Networks","Xu Zhang, Ziqi Lin, Shimin Gong, Bo Gu, Dusit Niyato","Long Range (LoRa) wireless technology, characterized by low power consumption
and a long communication range, is regarded as one of the enabling technologies
for the Industrial Internet of Things (IIoT). However, as the network scale
increases, the energy efficiency (EE) of LoRa networks decreases sharply due to
severe packet collisions. To address this issue, it is essential to
appropriately assign transmission parameters such as the spreading factor and
transmission power for each end device (ED). However, due to the sporadic
traffic and low duty cycle of LoRa networks, evaluating the system EE
performance under different parameter settings is time-consuming. Therefore, we
first formulate an analytical model to calculate the system EE. On this basis,
we propose a transmission parameter allocation algorithm based on multiagent
reinforcement learning (MALoRa) with the aim of maximizing the system EE of
LoRa networks. Notably, MALoRa employs an attention mechanism to guide each ED
to better learn how much ''attention'' should be given to the parameter
assignments for relevant EDs when seeking to improve the system EE. Simulation
results demonstrate that MALoRa significantly improves the system EE compared
with baseline algorithms with an acceptable degradation in packet delivery rate
(PDR).",2309.08965v1,https://arxiv.org/pdf/2309.08965v1,Multiagent
GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,"Nathalia Nascimento, Paulo Alencar, Donald Cowan","This paper introduces the ""GPT-in-the-loop"" approach, a novel method
combining the advanced reasoning capabilities of Large Language Models (LLMs)
like Generative Pre-trained Transformers (GPT) with multiagent (MAS) systems.
Venturing beyond traditional adaptive approaches that generally require long
training processes, our framework employs GPT-4 for enhanced problem-solving
and explanation skills. Our experimental backdrop is the smart streetlight
Internet of Things (IoT) application. Here, agents use sensors, actuators, and
neural networks to create an energy-efficient lighting system. By integrating
GPT-4, these agents achieve superior decision-making and adaptability without
the need for extensive training. We compare this approach with both traditional
neuroevolutionary methods and solutions provided by software engineers,
underlining the potential of GPT-driven multiagent systems in IoT.
Structurally, the paper outlines the incorporation of GPT into the agent-driven
Framework for the Internet of Things (FIoT), introduces our proposed
GPT-in-the-loop approach, presents comparative results in the IoT context, and
concludes with insights and future directions.",2308.10435v1,https://arxiv.org/pdf/2308.10435v1,Multiagent
"Mimicking To Dominate: Imitation Learning Strategies for Success in
  Multiagent Competitive Games","The Viet Bui, Tien Mai, Thanh Hong Nguyen","Training agents in multi-agent competitive games presents significant
challenges due to their intricate nature. These challenges are exacerbated by
dynamics influenced not only by the environment but also by opponents'
strategies. Existing methods often struggle with slow convergence and
instability. To address this, we harness the potential of imitation learning to
comprehend and anticipate opponents' behavior, aiming to mitigate uncertainties
with respect to the game dynamics. Our key contributions include: (i) a new
multi-agent imitation learning model for predicting next moves of the opponents
-- our model works with hidden opponents' actions and local observations; (ii)
a new multi-agent reinforcement learning algorithm that combines our imitation
learning model and policy training into one single training process; and (iii)
extensive experiments in three challenging game environments, including an
advanced version of the Star-Craft multi-agent challenge (i.e., SMACv2).
Experimental results show that our approach achieves superior performance
compared to existing state-of-the-art multi-agent RL algorithms.",2308.10188v1,https://arxiv.org/pdf/2308.10188v1,Multiagent
"Learning in Cooperative Multiagent Systems Using Cognitive and Machine
  Models","Thuy Ngoc Nguyen, Duy Nhat Phan, Cleotilde Gonzalez","Developing effective Multi-Agent Systems (MAS) is critical for many
applications requiring collaboration and coordination with humans. Despite the
rapid advance of Multi-Agent Deep Reinforcement Learning (MADRL) in cooperative
MAS, one major challenge is the simultaneous learning and interaction of
independent agents in dynamic environments in the presence of stochastic
rewards. State-of-the-art MADRL models struggle to perform well in Coordinated
Multi-agent Object Transportation Problems (CMOTPs), wherein agents must
coordinate with each other and learn from stochastic rewards. In contrast,
humans often learn rapidly to adapt to nonstationary environments that require
coordination among people. In this paper, motivated by the demonstrated ability
of cognitive models based on Instance-Based Learning Theory (IBLT) to capture
human decisions in many dynamic decision making tasks, we propose three
variants of Multi-Agent IBL models (MAIBL). The idea of these MAIBL algorithms
is to combine the cognitive mechanisms of IBLT and the techniques of MADRL
models to deal with coordination MAS in stochastic environments from the
perspective of independent learners. We demonstrate that the MAIBL models
exhibit faster learning and achieve better coordination in a dynamic CMOTP task
with various settings of stochastic rewards compared to current MADRL models.
We discuss the benefits of integrating cognitive insights into MADRL models.",2308.09219v1,https://arxiv.org/pdf/2308.09219v1,Multiagent
"BRNES: Enabling Security and Privacy-aware Experience Sharing in
  Multiagent Robotic and Autonomous Systems","Md Tamjid Hossain, Hung Manh La, Shahriar Badsha, Anton Netchaev","Although experience sharing (ES) accelerates multiagent reinforcement
learning (MARL) in an advisor-advisee framework, attempts to apply ES to
decentralized multiagent systems have so far relied on trusted environments and
overlooked the possibility of adversarial manipulation and inference.
Nevertheless, in a real-world setting, some Byzantine attackers, disguised as
advisors, may provide false advice to the advisee and catastrophically degrade
the overall learning performance. Also, an inference attacker, disguised as an
advisee, may conduct several queries to infer the advisors' private information
and make the entire ES process questionable in terms of privacy leakage. To
address and tackle these issues, we propose a novel MARL framework (BRNES) that
heuristically selects a dynamic neighbor zone for each advisee at each learning
step and adopts a weighted experience aggregation technique to reduce Byzantine
attack impact. Furthermore, to keep the agent's private information safe from
adversarial inference attacks, we leverage the local differential privacy
(LDP)-induced noise during the ES process. Our experiments show that our
framework outperforms the state-of-the-art in terms of the steps to goal,
obtained reward, and time to goal metrics. Particularly, our evaluation shows
that the proposed framework is 8.32x faster than the current non-private
frameworks and 1.41x faster than the private frameworks in an adversarial
setting.",2308.01274v1,https://arxiv.org/pdf/2308.01274v1,Multiagent
Anticipating Responsibility in Multiagent Planning,"Timothy Parker, Umberto Grandi, Emiliano Lorini","Responsibility anticipation is the process of determining if the actions of
an individual agent may cause it to be responsible for a particular outcome.
This can be used in a multi-agent planning setting to allow agents to
anticipate responsibility in the plans they consider. The planning setting in
this paper includes partial information regarding the initial state and
considers formulas in linear temporal logic as positive or negative outcomes to
be attained or avoided. We firstly define attribution for notions of active,
passive and contributive responsibility, and consider their agentive variants.
We then use these to define the notion of responsibility anticipation. We prove
that our notions of anticipated responsibility can be used to coordinate agents
in a planning setting and give complexity results for our model, discussing
equivalence with classical planning. We also present an outline for solving
some of our attribution and anticipation problems using PDDL solvers.",2307.16685v1,https://arxiv.org/pdf/2307.16685v1,Multiagent
A Novel Multiagent Flexibility Aggregation Framework,"Stavros Orfanoudakis, Georgios Chalkiadakis","The increasing number of Distributed Energy Resources (DERs) in the emerging
Smart Grid, has created an imminent need for intelligent multiagent frameworks
able to utilize these assets efficiently. In this paper, we propose a novel DER
aggregation framework, encompassing a multiagent architecture and various types
of mechanisms for the effective management and efficient integration of DERs in
the Grid. One critical component of our architecture is the Local Flexibility
Estimators (LFEs) agents, which are key for offloading the Aggregator from
serious or resource-intensive responsibilities -- such as addressing privacy
concerns and predicting the accuracy of DER statements regarding their offered
demand response services. The proposed framework allows the formation of
efficient LFE cooperatives. To this end, we developed and deployed a variety of
cooperative member selection mechanisms, including (a) scoring rules, and (b)
(deep) reinforcement learning. We use data from the well-known PowerTAC
simulator to systematically evaluate our framework. Our experiments verify its
effectiveness for incorporating heterogeneous DERs into the Grid in an
efficient manner. In particular, when using the well-known probabilistic
prediction accuracy-incentivizing CRPS scoring rule as a selection mechanism,
our framework results in increased average payments for participants, when
compared with traditional commercial aggregators.",2307.08401v1,https://arxiv.org/pdf/2307.08401v1,Multiagent
Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,"Nathalia Nascimento, Paulo Alencar, Donald Cowan","In autonomic computing, self-adaptation has been proposed as a fundamental
paradigm to manage the complexity of multiagent systems (MASs). This achieved
by extending a system with support to monitor and adapt itself to achieve
specific concerns of interest. Communication in these systems is key given that
in scenarios involving agent interaction, it enhances cooperation and reduces
coordination challenges by enabling direct, clear information exchange.
However, improving the expressiveness of the interaction communication with
MASs is not without challenges. In this sense, the interplay between
self-adaptive systems and effective communication is crucial for future MAS
advancements. In this paper, we propose the integration of large language
models (LLMs) such as GPT-based technologies into multiagent systems. We anchor
our methodology on the MAPE-K model, which is renowned for its robust support
in monitoring, analyzing, planning, and executing system adaptations in
response to dynamic environments. We also present a practical illustration of
the proposed approach, in which we implement and assess a basic MAS-based
application. The approach significantly advances the state-of-the-art of
self-adaptive systems by proposing a new paradigm for MAS self-adaptation of
autonomous systems based on LLM capabilities.",2307.06187v1,https://arxiv.org/pdf/2307.06187v1,Multiagent
"Surge Routing: Event-informed Multiagent Reinforcement Learning for
  Autonomous Rideshare","Daniel Garces, Stephanie Gil","Large events such as conferences, concerts and sports games, often cause
surges in demand for ride services that are not captured in average demand
patterns, posing unique challenges for routing algorithms. We propose a
learning framework for an autonomous fleet of taxis that leverages event data
from the internet to predict demand surges and generate cooperative routing
policies. We achieve this through a combination of two major components: (i) a
demand prediction framework that uses textual event information in the form of
events' descriptions and reviews to predict event-driven demand surges over
street intersections, and (ii) a scalable multiagent reinforcement learning
framework that leverages demand predictions and uses one-agent-at-a-time
rollout combined with limited sampling certainty equivalence to learn
intersection-level routing policies. For our experimental results we consider
real NYC ride share data for the year 2022 and information for more than 2000
events across 300 unique venues in Manhattan. We test our approach with a fleet
of 100 taxis on a map with 2235 street intersections. Our experimental results
demonstrate that our method learns routing policies that reduce wait time
overhead per serviced request by 25% to 75%, while picking up 1% to 4% more
requests than other model-based RL frameworks and classical methods in
operations research.",2307.02637v2,https://arxiv.org/pdf/2307.02637v2,Multiagent
"Hiding in Plain Sight: Differential Privacy Noise Exploitation for
  Evasion-resilient Localized Poisoning Attacks in Multiagent Reinforcement
  Learning","Md Tamjid Hossain, Hung La","Lately, differential privacy (DP) has been introduced in cooperative
multiagent reinforcement learning (CMARL) to safeguard the agents' privacy
against adversarial inference during knowledge sharing. Nevertheless, we argue
that the noise introduced by DP mechanisms may inadvertently give rise to a
novel poisoning threat, specifically in the context of private knowledge
sharing during CMARL, which remains unexplored in the literature. To address
this shortcoming, we present an adaptive, privacy-exploiting, and
evasion-resilient localized poisoning attack (PeLPA) that capitalizes on the
inherent DP-noise to circumvent anomaly detection systems and hinder the
optimal convergence of the CMARL model. We rigorously evaluate our proposed
PeLPA attack in diverse environments, encompassing both non-adversarial and
multiple-adversarial contexts. Our findings reveal that, in a medium-scale
environment, the PeLPA attack with attacker ratios of 20% and 40% can lead to
an increase in average steps to goal by 50.69% and 64.41%, respectively.
Furthermore, under similar conditions, PeLPA can result in a 1.4x and 1.6x
computational time increase in optimal reward attainment and a 1.18x and 1.38x
slower convergence for attacker ratios of 20% and 40%, respectively.",2307.00268v2,https://arxiv.org/pdf/2307.00268v2,Multiagent
Towards a Better Understanding of Learning with Multiagent Teams,"David Radke, Kate Larson, Tim Brecht, Kyle Tilbury","While it has long been recognized that a team of individual learning agents
can be greater than the sum of its parts, recent work has shown that larger
teams are not necessarily more effective than smaller ones. In this paper, we
study why and under which conditions certain team structures promote effective
learning for a population of individual learning agents. We show that,
depending on the environment, some team structures help agents learn to
specialize into specific roles, resulting in more favorable global results.
However, large teams create credit assignment challenges that reduce
coordination, leading to large teams performing poorly compared to smaller
ones. We support our conclusions with both theoretical analysis and empirical
results.",2306.16205v1,https://arxiv.org/pdf/2306.16205v1,Multiagent
"SIMMF: Semantics-aware Interactive Multiagent Motion Forecasting for
  Autonomous Vehicle Driving","Vidyaa Krishnan Nivash, Ahmed H. Qureshi","Autonomous vehicles require motion forecasting of their surrounding
multiagents (pedestrians and vehicles) to make optimal decisions for
navigation. The existing methods focus on techniques to utilize the positions
and velocities of these agents and fail to capture semantic information from
the scene. Moreover, to mitigate the increase in computational complexity
associated with the number of agents in the scene, some works leverage
Euclidean distance to prune far-away agents. However, distance-based metric
alone is insufficient to select relevant agents and accurately perform their
predictions. To resolve these issues, we propose the Semantics-aware
Interactive Multiagent Motion Forecasting (SIMMF) method to capture semantics
along with spatial information and optimally select relevant agents for motion
prediction. Specifically, we achieve this by implementing a semantic-aware
selection of relevant agents from the scene and passing them through an
attention mechanism to extract global encodings. These encodings along with
agents' local information, are passed through an encoder to obtain
time-dependent latent variables for a motion policy predicting the future
trajectories. Our results show that the proposed approach outperforms
state-of-the-art baselines and provides more accurate and scene-consistent
predictions.",2306.14941v2,https://arxiv.org/pdf/2306.14941v2,Multiagent
"Adversarial Search and Tracking with Multiagent Reinforcement Learning
  in Sparsely Observable Environment","Zixuan Wu, Sean Ye, Manisha Natarajan, Letian Chen, Rohan Paleja, Matthew C. Gombolay","We study a search and tracking (S&T) problem where a team of dynamic search
agents must collaborate to track an adversarial, evasive agent. The
heterogeneous search team may only have access to a limited number of past
adversary trajectories within a large search space. This problem is challenging
for both model-based searching and reinforcement learning (RL) methods since
the adversary exhibits reactionary and deceptive evasive behaviors in a large
space leading to sparse detections for the search agents. To address this
challenge, we propose a novel Multi-Agent RL (MARL) framework that leverages
the estimated adversary location from our learnable filtering model. We show
that our MARL architecture can outperform all baselines and achieves a 46%
increase in detection rate.",2306.11301v2,https://arxiv.org/pdf/2306.11301v2,Multiagent
"Real-Time Network-Level Traffic Signal Control: An Explicit Multiagent
  Coordination Method","Wanyuan Wang, Tianchi Qiao, Jinming Ma, Jiahui Jin, Zhibin Li, Weiwei Wu, Yichuan Jian","Efficient traffic signal control (TSC) has been one of the most useful ways
for reducing urban road congestion. Key to the challenge of TSC includes 1) the
essential of real-time signal decision, 2) the complexity in traffic dynamics,
and 3) the network-level coordination. Recent efforts that applied
reinforcement learning (RL) methods can query policies by mapping the traffic
state to the signal decision in real-time, however, is inadequate for
unexpected traffic flows. By observing real traffic information, online
planning methods can compute the signal decisions in a responsive manner. We
propose an explicit multiagent coordination (EMC)-based online planning methods
that can satisfy adaptive, real-time and network-level TSC. By multiagent, we
model each intersection as an autonomous agent, and the coordination efficiency
is modeled by a cost (i.e., congestion index) function between neighbor
intersections. By network-level coordination, each agent exchanges messages
with respect to cost function with its neighbors in a fully decentralized
manner. By real-time, the message passing procedure can interrupt at any time
when the real time limit is reached and agents select the optimal signal
decisions according to the current message. Moreover, we prove our EMC method
can guarantee network stability by borrowing ideas from transportation domain.
Finally, we test our EMC method in both synthetic and real road network
datasets. Experimental results are encouraging: compared to RL and conventional
transportation baselines, our EMC method performs reasonably well in terms of
adapting to real-time traffic dynamics, minimizing vehicle travel time and
scalability to city-scale road networks.",2306.08843v1,https://arxiv.org/pdf/2306.08843v1,Multiagent
Towards a Unifying Model of Rationality in Multiagent Systems,"Robert Loftin, Mustafa Mert Çelikok, Frans A. Oliehoek","Multiagent systems deployed in the real world need to cooperate with other
agents (including humans) nearly as effectively as these agents cooperate with
one another. To design such AI, and provide guarantees of its effectiveness, we
need to clearly specify what types of agents our AI must be able to cooperate
with. In this work we propose a generic model of socially intelligent agents,
which are individually rational learners that are also able to cooperate with
one another (in the sense that their joint behavior is Pareto efficient). We
define rationality in terms of the regret incurred by each agent over its
lifetime, and show how we can construct socially intelligent agents for
different forms of regret. We then discuss the implications of this model for
the development of ""robust"" MAS that can cooperate with a wide variety of
socially intelligent agents.",2305.18071v1,https://arxiv.org/pdf/2305.18071v1,Multiagent
