Title,Authors,Abstract,arXiv ID,PDF_Link
"On the Effectiveness of Retrieval, Alignment, and Replay in Manipulation","Norman Di Palo, Edward Johns","Imitation learning with visual observations is notoriously inefficient when
addressed with end-to-end behavioural cloning methods. In this paper, we
explore an alternative paradigm which decomposes reasoning into three phases.
First, a retrieval phase, which informs the robot what it can do with an
object. Second, an alignment phase, which informs the robot where to interact
with the object. And third, a replay phase, which informs the robot how to
interact with the object. Through a series of real-world experiments on
everyday tasks, such as grasping, pouring, and inserting objects, we show that
this decomposition brings unprecedented learning efficiency, and effective
inter- and intra-class generalisation. Videos are available at
https://www.robot-learning.uk/retrieval-alignment-replay.",2312.12345v1,https://arxiv.org/pdf/2312.12345v1
"EMG subspace alignment and visualization for cross-subject hand gesture
  classification","Martin Colot, Cédric Simar, Mathieu Petieau, Ana Maria Cebolla Alvarez, Guy Cheron, Gianluca Bontempi","Electromyograms (EMG)-based hand gesture recognition systems are a promising
technology for human/machine interfaces. However, one of their main limitations
is the long calibration time that is typically required to handle new users.
The paper discusses and analyses the challenge of cross-subject generalization
thanks to an original dataset containing the EMG signals of 14 human subjects
during hand gestures. The experimental results show that, though an accurate
generalization based on pooling multiple subjects is hardly achievable, it is
possible to improve the cross-subject estimation by identifying a robust
low-dimensional subspace for multiple subjects and aligning it to a target
subject. A visualization of the subspace enables us to provide insights for the
improvement of cross-subject generalization with EMG signals.",2401.05386v1,https://arxiv.org/pdf/2401.05386v1
Soft Alignment of Modality Space for End-to-end Speech Translation,"Yuhao Zhang, Kaiqi Kou, Bei Li, Chen Xu, Chunliang Zhang, Tong Xiao, Jingbo Zhu","End-to-end Speech Translation (ST) aims to convert speech into target text
within a unified model. The inherent differences between speech and text
modalities often impede effective cross-modal and cross-lingual transfer.
Existing methods typically employ hard alignment (H-Align) of individual speech
and text segments, which can degrade textual representations. To address this,
we introduce Soft Alignment (S-Align), using adversarial training to align the
representation spaces of both modalities. S-Align creates a modality-invariant
space while preserving individual modality quality. Experiments on three
languages from the MuST-C dataset show S-Align outperforms H-Align across
multiple tasks and offers translation capabilities on par with specialized
translation models.",2312.10952v1,https://arxiv.org/pdf/2312.10952v1
Regularized Conditional Alignment for Multi-Domain Text Classification,"Juntao Hu, Yuan Wu","The most successful multi-domain text classification (MDTC) approaches employ
the shared-private paradigm to facilitate the enhancement of domain-invariant
features through domain-specific attributes. Additionally, they employ
adversarial training to align marginal feature distributions. Nevertheless,
these methodologies encounter two primary challenges: (1) Neglecting
class-aware information during adversarial alignment poses a risk of
misalignment; (2) The limited availability of labeled data across multiple
domains fails to ensure adequate discriminative capacity for the model. To
tackle these issues, we propose a method called Regularized Conditional
Alignment (RCA) to align the joint distributions of domains and classes, thus
matching features within the same category and amplifying the discriminative
qualities of acquired features. Moreover, we employ entropy minimization and
virtual adversarial training to constrain the uncertainty of predictions
pertaining to unlabeled data and enhance the model's robustness. Empirical
results on two benchmark datasets demonstrate that our RCA approach outperforms
state-of-the-art MDTC techniques.",2312.11572v1,https://arxiv.org/pdf/2312.11572v1
"M^2ConceptBase: A Fine-Grained Aligned Concept-Centric Multimodal
  Knowledge Base","Zhiwei Zha, Jiaan Wang, Zhixu Li, Xiangru Zhu, Wei Song, Yanghua Xiao","Multimodal knowledge bases (MMKBs) provide cross-modal aligned knowledge
crucial for multimodal tasks. However, the images in existing MMKBs are
generally collected for entities in encyclopedia knowledge graphs. Therefore,
detailed groundings of visual semantics with linguistic concepts are lacking,
which are essential for the visual concept cognition ability of multimodal
models. Addressing this gap, we introduce M^2ConceptBase, the first
concept-centric MMKB. M^2ConceptBase models concepts as nodes with associated
images and detailed textual descriptions. We propose a context-aware multimodal
symbol grounding approach to align concept-image and concept-description pairs
using context information from image-text datasets. Comprising 951K images and
152K concepts, M^2ConceptBase links each concept to an average of 6.27 images
and a single description, ensuring comprehensive visual and textual semantics.
Human studies confirm more than 95% alignment accuracy, underscoring its
quality. Additionally, our experiments demonstrate that M^2ConceptBase
significantly enhances VQA model performance on the OK-VQA task. M^2ConceptBase
also substantially improves the fine-grained concept understanding capabilities
of multimodal large language models through retrieval augmentation in two
concept-related tasks, highlighting its value.",2312.10417v2,https://arxiv.org/pdf/2312.10417v2
"CERN for AGI: A Theoretical Framework for Autonomous Simulation-Based
  Artificial Intelligence Testing and Alignment","Ljubisa Bojic, Matteo Cinelli, Dubravko Culibrk, Boris Delibasic","This paper explores the potential of a multidisciplinary approach to testing
and aligning artificial general intelligence (AGI) and LLMs. Due to the rapid
development and wide application of LLMs, challenges such as ethical alignment,
controllability, and predictability of these models have become important
research topics. This study investigates an innovative simulation-based
multi-agent system within a virtual reality framework that replicates the
real-world environment. The framework is populated by automated 'digital
citizens,' simulating complex social structures and interactions to examine and
optimize AGI. Application of various theories from the fields of sociology,
social psychology, computer science, physics, biology, and economics
demonstrates the possibility of a more human-aligned and socially responsible
AGI. The purpose of such a digital environment is to provide a dynamic platform
where advanced AI agents can interact and make independent decisions, thereby
mimicking realistic scenarios. The actors in this digital city, operated by the
LLMs, serve as the primary agents, exhibiting high degrees of autonomy. While
this approach shows immense potential, there are notable challenges and
limitations, most significantly the unpredictable nature of real-world social
dynamics. This research endeavors to contribute to the development and
refinement of AGI, emphasizing the integration of social, ethical, and
theoretical dimensions for future research.",2312.09402v1,https://arxiv.org/pdf/2312.09402v1
"Object-Centric Conformance Alignments with Synchronization (Extended
  Version)","Alessandro Gianola, Marco Montali, Sarah Winkler","Real-world processes operate on objects that are inter-dependent. To
accurately reflect the nature of such processes, object-centric process mining
techniques are needed, notably conformance checking. However, while the
object-centric perspective has recently gained traction, few concrete process
mining techniques have been presented so far. Moreover, existing approaches are
severely limited in their abilities to keep track of object identity and object
dependencies. Consequently, serious problems in logs remain undetected. In this
paper, we present a new formalism that combines the key modelling features of
two existing approaches, in particular the ability of object-centric Petri nets
to capture one-to-many relations and the one of Petri nets with identifiers to
compare and synchronize objects based on their identity. We call the resulting
formalism 'object-centric Petri nets with identifiers', and define alignments
and the conformance checking task for this setting. We propose a conformance
checking approach for such nets based on an encoding in satisfiability modulo
theories (SMT), and illustrate how it can be effectively used to overcome
shortcomings of earlier work. To assess its practicality, we perform an
evaluation on data from the literature.",2312.08537v2,https://arxiv.org/pdf/2312.08537v2
Generalizable Sleep Staging via Multi-Level Domain Alignment,"Jiquan Wang, Sha Zhao, Haiteng Jiang, Shijian Li, Tao Li, Gang Pan","Automatic sleep staging is essential for sleep assessment and disorder
diagnosis. Most existing methods depend on one specific dataset and are limited
to be generalized to other unseen datasets, for which the training data and
testing data are from the same dataset. In this paper, we introduce domain
generalization into automatic sleep staging and propose the task of
generalizable sleep staging which aims to improve the model generalization
ability to unseen datasets. Inspired by existing domain generalization methods,
we adopt the feature alignment idea and propose a framework called SleepDG to
solve it. Considering both of local salient features and sequential features
are important for sleep staging, we propose a Multi-level Feature Alignment
combining epoch-level and sequence-level feature alignment to learn
domain-invariant feature representations. Specifically, we design an
Epoch-level Feature Alignment to align the feature distribution of each single
sleep epoch among different domains, and a Sequence-level Feature Alignment to
minimize the discrepancy of sequential features among different domains.
SleepDG is validated on five public datasets, achieving the state-of-the-art
performance.",2401.05363v4,https://arxiv.org/pdf/2401.05363v4
"Fine-Grained Image-Text Alignment in Medical Imaging Enables Explainable
  Cyclic Image-Report Generation","Wenting Chen, Linlin Shen, Jingyang Lin, Jiebo Luo, Xiang Li, Yixuan Yuan","To address these issues, we propose a novel Adaptive patch-word Matching
(AdaMatch) model to correlate chest X-ray (CXR) image regions with words in
medical reports and apply it to CXR-report generation to provide explainability
for the generation process. AdaMatch exploits the fine-grained relation between
adaptive patches and words to provide explanations of specific image regions
with corresponding words. To capture the abnormal regions of varying sizes and
positions, we introduce the Adaptive Patch extraction (AdaPatch) module to
acquire the adaptive patches for these regions adaptively. In order to provide
explicit explainability for CXR-report generation task, we propose an
AdaMatch-based bidirectional large language model for Cyclic CXR-report
generation (AdaMatch-Cyclic). It employs the AdaMatch to obtain the keywords
for CXR images and `keypatches' for medical reports as hints to guide
CXR-report generation. Extensive experiments on two publicly available CXR
datasets prove the effectiveness of our method and its superior performance to
existing methods.",2312.08078v5,https://arxiv.org/pdf/2312.08078v5
"Minimax-optimal estimation for sparse multi-reference alignment with
  collision-free signals","Subhro Ghosh, Soumendu Sundar Mukherjee, Jing Bin Pan","The Multi-Reference Alignment (MRA) problem aims at the recovery of an
unknown signal from repeated observations under the latent action of a group of
cyclic isometries, in the presence of additive noise of high intensity
$\sigma$. It is a more tractable version of the celebrated cryo EM model. In
the crucial high noise regime, it is known that its sample complexity scales as
$\sigma^6$. Recent investigations have shown that for the practically
significant setting of sparse signals, the sample complexity of the maximum
likelihood estimator asymptotically scales with the noise level as $\sigma^4$.
In this work, we investigate minimax optimality for signal estimation under the
MRA model for so-called collision-free signals. In particular, this signal
class covers the setting of generic signals of dilute sparsity (wherein the
support size $s=O(L^{1/3})$, where $L$ is the ambient dimension.
  We demonstrate that the minimax optimal rate of estimation in for the sparse
MRA problem in this setting is $\sigma^2/\sqrt{n}$, where $n$ is the sample
size. In particular, this widely generalizes the sample complexity asymptotics
for the restricted MLE in this setting, establishing it as the statistically
optimal estimator. Finally, we demonstrate a concentration inequality for the
restricted MLE on its deviations from the ground truth.",2312.07839v1,https://arxiv.org/pdf/2312.07839v1
"CaVE: A Cone-Aligned Approach for Fast Predict-then-optimize with Binary
  Linear Programs","Bo Tang, Elias B. Khalil","The end-to-end predict-then-optimize framework, also known as
decision-focused learning, has gained popularity for its ability to integrate
optimization into the training procedure of machine learning models that
predict the unknown cost (objective function) coefficients of optimization
problems from contextual instance information. Naturally, most of the problems
of interest in this space can be cast as integer linear programs. In this work,
we focus on binary linear programs (BLPs) and propose a new end-to-end training
method to predict-then-optimize. Our method, Cone-aligned Vector Estimation
(CaVE), aligns the predicted cost vectors with the normal cone corresponding to
the true optimal solution of a training instance. When the predicted cost
vector lies inside the cone, the optimal solution to the linear relaxation of
the binary problem is optimal. This alignment not only produces decision-aware
learning models but also dramatically reduces training time as it circumvents
the need to solve BLPs to compute a loss function with its gradients.
Experiments across multiple datasets show that our method exhibits a favorable
trade-off between training time and solution quality, particularly with
large-scale optimization problems such as vehicle routing, a hard BLP that has
yet to benefit from predict-then-optimize methods in the literature due to its
difficulty.",2312.07718v2,https://arxiv.org/pdf/2312.07718v2
On Diversified Preferences of Large Language Model Alignment,"Dun Zeng, Yong Dai, Pengyu Cheng, Longyue Wang, Tianhao Hu, Wanshun Chen, Nan Du, Zenglin Xu","Aligning large language models (LLMs) with human preferences has been
recognized as the key to improving LLMs' interaction quality. However, in this
pluralistic world, human preferences can be diversified due to annotators'
different tastes, which hinders the effectiveness of LLM alignment methods.
This paper presents the first quantitative analysis of commonly used human
feedback datasets to investigate the impact of diversified preferences on
reward modeling. Our analysis reveals a correlation between the calibration
performance of reward models (RMs) and the alignment performance of LLMs. We
find that diversified preference data negatively affect the calibration
performance of RMs on human-shared preferences, such as Harmless\&Helpful,
thereby impairing the alignment performance of LLMs. To address the
ineffectiveness, we propose a novel Multi-Objective Reward learning method
(MORE) to enhance the calibration performance of RMs on shared preferences. We
validate our findings by experiments on three models and five human preference
datasets. Our method significantly improves the prediction calibration of RMs,
leading to better alignment of the Alpaca-7B model with Harmless\&Helpful
preferences. Furthermore, the connection between reward calibration and
preference alignment performance suggests that calibration error can be adopted
as a key metric for evaluating RMs. The open-source code and data are available
at https://github.com/dunzeng/MORE.",2312.07401v4,https://arxiv.org/pdf/2312.07401v4
Alignment for Honesty,"Yuqing Yang, Ethan Chern, Xipeng Qiu, Graham Neubig, Pengfei Liu","Recent research has made significant strides in applying alignment techniques
to enhance the helpfulness and harmlessness of large language models (LLMs) in
accordance with human intentions. In this paper, we argue for the importance of
alignment for honesty, ensuring that LLMs proactively refuse to answer
questions when they lack knowledge, while still not being overly conservative.
However, a pivotal aspect of alignment for honesty involves discerning the
limits of an LLM's knowledge, which is far from straightforward. This challenge
demands comprehensive solutions in terms of metric development, benchmark
creation, and training methodologies. In this paper, we address these
challenges by first establishing a precise problem definition and defining
``honesty'' inspired by the Analects of Confucius. This serves as a cornerstone
for developing metrics that effectively measure an LLM's honesty by quantifying
its progress post-alignment. Furthermore, we introduce a flexible training
framework which is further instantiated by several efficient fine-tuning
techniques that emphasize honesty without sacrificing performance on other
tasks. Our extensive experiments reveal that these aligned models show a marked
increase in honesty, as indicated by our proposed metrics. We open-source a
wealth of resources to facilitate future research at
https://github.com/GAIR-NLP/alignment-for-honesty, including honesty-aligned
models, training and evaluation datasets for honesty alignment, concept
glossary, as well as all relevant source code.",2312.07000v1,https://arxiv.org/pdf/2312.07000v1
"Remote Sensing Vision-Language Foundation Models without Annotations via
  Ground Remote Alignment","Utkarsh Mall, Cheng Perng Phoo, Meilin Kelsey Liu, Carl Vondrick, Bharath Hariharan, Kavita Bala","We introduce a method to train vision-language models for remote-sensing
images without using any textual annotations. Our key insight is to use
co-located internet imagery taken on the ground as an intermediary for
connecting remote-sensing images and language. Specifically, we train an image
encoder for remote sensing images to align with the image encoder of CLIP using
a large amount of paired internet and satellite images. Our unsupervised
approach enables the training of a first-of-its-kind large-scale vision
language model (VLM) for remote sensing images at two different resolutions. We
show that these VLMs enable zero-shot, open-vocabulary image classification,
retrieval, segmentation and visual question answering for satellite images. On
each of these tasks, our VLM trained without textual annotations outperforms
existing VLMs trained with supervision, with gains of up to 20% for
classification and 80% for segmentation.",2312.06960v1,https://arxiv.org/pdf/2312.06960v1
"Aligning brain functions boosts the decoding of visual semantics in
  novel subjects","Alexis Thual, Yohann Benchetrit, Felix Geilert, Jérémy Rapin, Iurii Makarov, Hubert Banville, Jean-Rémi King","Deep learning is leading to major advances in the realm of brain decoding
from functional Magnetic Resonance Imaging (fMRI). However, the large
inter-subject variability in brain characteristics has limited most studies to
train models on one subject at a time. Consequently, this approach hampers the
training of deep learning models, which typically requires very large datasets.
Here, we propose to boost brain decoding by aligning brain responses to videos
and static images across subjects. Compared to the anatomically-aligned
baseline, our method improves out-of-subject decoding performance by up to 75%.
Moreover, it also outperforms classical single-subject approaches when fewer
than 100 minutes of data is available for the tested subject. Furthermore, we
propose a new multi-subject alignment method, which obtains comparable results
to that of classical single-subject approaches while improving out-of-subject
generalization. Finally, we show that this method aligns neural representations
in accordance with brain anatomy. Overall, this study lays the foundations for
leveraging extensive neuroimaging datasets and enhancing the decoding of
individuals with a limited amount of brain recordings.",2312.06467v1,https://arxiv.org/pdf/2312.06467v1
"Cross Fertilizing Empathy from Brain to Machine as a Value Alignment
  Strategy","Devin Gonier, Adrian Adduci, Cassidy LoCascio","AI Alignment research seeks to align human and AI goals to ensure independent
actions by a machine are always ethical. This paper argues empathy is necessary
for this task, despite being often neglected in favor of more deductive
approaches. We offer an inside-out approach that grounds morality within the
context of the brain as a basis for algorithmically understanding ethics and
empathy. These arguments are justified via a survey of relevant literature. The
paper concludes with a suggested experimental approach to future research and
some initial experimental observations.",2312.07579v1,https://arxiv.org/pdf/2312.07579v1
"IL-NeRF: Incremental Learning for Neural Radiance Fields with Camera
  Pose Alignment","Letian Zhang, Ming Li, Chen Chen, Jie Xu","Neural radiance fields (NeRF) is a promising approach for generating
photorealistic images and representing complex scenes. However, when processing
data sequentially, it can suffer from catastrophic forgetting, where previous
data is easily forgotten after training with new data. Existing incremental
learning methods using knowledge distillation assume that continuous data
chunks contain both 2D images and corresponding camera pose parameters,
pre-estimated from the complete dataset. This poses a paradox as the necessary
camera pose must be estimated from the entire dataset, even though the data
arrives sequentially and future chunks are inaccessible. In contrast, we focus
on a practical scenario where camera poses are unknown. We propose IL-NeRF, a
novel framework for incremental NeRF training, to address this challenge.
IL-NeRF's key idea lies in selecting a set of past camera poses as references
to initialize and align the camera poses of incoming image data. This is
followed by a joint optimization of camera poses and replay-based NeRF
distillation. Our experiments on real-world indoor and outdoor scenes show that
IL-NeRF handles incremental NeRF training and outperforms the baselines by up
to $54.04\%$ in rendering quality.",2312.05748v1,https://arxiv.org/pdf/2312.05748v1
"Unsupervised Multi-modal Feature Alignment for Time Series
  Representation Learning","Chen Liang, Donghua Yang, Zhiyu Liang, Hongzhi Wang, Zheng Liang, Xiyang Zhang, Jianfeng Huang","In recent times, the field of unsupervised representation learning (URL) for
time series data has garnered significant interest due to its remarkable
adaptability across diverse downstream applications. Unsupervised learning
goals differ from downstream tasks, making it tricky to ensure downstream task
utility by focusing only on temporal feature characterization. Researchers have
proposed multiple transformations to extract discriminative patterns implied in
informative time series, trying to fill the gap. Despite the introduction of a
variety of feature engineering techniques, e.g. spectral domain, wavelet
transformed features, features in image form and symbolic features etc. the
utilization of intricate feature fusion methods and dependence on heterogeneous
features during inference hampers the scalability of the solutions. To address
this, our study introduces an innovative approach that focuses on aligning and
binding time series representations encoded from different modalities, inspired
by spectral graph theory, thereby guiding the neural encoder to uncover latent
pattern associations among these multi-modal features. In contrast to
conventional methods that fuse features from multiple modalities, our proposed
approach simplifies the neural architecture by retaining a single time series
encoder, consequently leading to preserved scalability. We further demonstrate
and prove mechanisms for the encoder to maintain better inductive bias. In our
experimental evaluation, we validated the proposed method on a diverse set of
time series datasets from various domains. Our approach outperforms existing
state-of-the-art URL methods across diverse downstream tasks.",2312.05698v1,https://arxiv.org/pdf/2312.05698v1
